int_ax,ax_min,ax_max,int_ay,ay_min,ay_max,int_az,az_min,az_max,gyr_x_min,gyr_x_max,gyr_y_min,gyr_y_max,gyr_z_min,gyr_z_max,make,left,right,short,long,suggestion,file_name
-212208.45039682547,-1941.0,1608.0,1074356.0496031744,-950.0,1751.0,-389350.3412698413,-1610.0,1615.0,-248.0,218.8,-457.5,368.7,-224.9,343.9,0,1,0,0,0,ns,1596170371
-1313075.2938340334,-1891.0,666.0,1510544.70302521,-556.0,1494.0,-1275862.697152194,-1082.0,268.0,-176.3,267.4,-218.5,409.5,-187.6,104.3,1,0,0,0,0,ns,1596170422
-153970.8333333333,-1998.0,1622.0,729133.0138888889,-1998.0,1996.0,-236696.45833333328,-1996.0,1998.0,-1945.9,133.2,-2293.4,2275.8,-885.4,300.3,1,0,0,0,0,ns,1596170446
-6336342.644024277,-1998.0,865.0,3048144.138888888,-1020.0,1939.0,2793402.03513072,-1212.0,1701.0,-170.1,387.3,-743.6,251.4,-137.2,375.2,0,0,0,1,0,ns,1596170501
57612.81944444443,-1998.0,1998.0,1424536.7222222218,-1326.0,1996.0,-531926.2083333333,-1996.0,1998.0,-314.2,2108.4,-957.6,1937.8,-192.7,612.2,0,1,0,0,0,ns,1596170532
-1012721.4110474396,-1672.0,668.0,1914786.129592192,-195.0,1585.0,-589849.7997980649,-846.0,272.0,-191.1,148.5,-152.3,256.4,-90.3,108.0,0,0,0,0,1,ns,1596170573
-54988.60985930736,-1998.0,1998.0,852258.4586749189,-1998.0,1996.0,-222088.54798205267,-1996.0,1998.0,-356.7,1793.3,-1780.0,1877.4,-167.6,958.8,1,0,0,0,0,ns,1596170601
-1734586.1227398932,-1998.0,1998.0,2866140.3036726825,-1998.0,1996.0,-1079542.6751443823,-1996.0,1998.0,-314.5,1939.7,-1470.8,1687.4,-187.4,1169.9,0,0,0,0,1,ns,1596170628
31343.60227554563,-1437.0,711.0,2924794.6369822696,-1178.0,1583.0,-1261907.9690755212,-1419.0,1092.0,-44.1,64.2,-145.7,154.2,-97.2,73.6,0,1,0,0,0,ns,1596170671
-713184.5277777779,-1877.0,959.0,1148049.6388888888,-1763.0,1976.0,144647.94444444447,-1855.0,1394.0,-210.9,498.4,-494.8,530.7,-154.4,144.2,0,1,0,0,0,ns,1596170731
-935200.2297616126,-1644.0,847.0,1393886.3925603018,-377.0,1651.0,-534534.2933906382,-1160.0,34.0,-106.6,147.9,-299.7,350.0,-82.1,110.8,0,1,0,0,0,ns,1596170782
-148653.14947399413,-1998.0,1884.0,896454.4023228609,-1189.0,1996.0,-134126.39082261693,-1996.0,1998.0,-379.0,2015.4,-1609.2,2140.1,-140.6,566.6,0,1,0,0,0,ns,1596170839
-445311.3404798436,-1998.0,1998.0,1598863.0453166603,-1998.0,1988.0,-723335.5965345246,-1996.0,1998.0,-1474.0,372.8,-1219.3,2271.0,-1402.1,483.2,1,0,0,0,0,ns,1596170869
-164045.81255835667,-1998.0,1998.0,935090.8803688141,-1998.0,1996.0,-92311.52929505132,-1996.0,1998.0,-786.3,1816.0,-2162.0,1164.3,-479.1,1927.8,0,0,1,0,0,ns,1596170922
-7753288.371353093,-1998.0,1998.0,2787413.553705766,-1678.0,1942.0,3107455.5299796504,-1996.0,1983.0,-470.8,1162.5,-2142.4,2092.4,-1430.1,1045.0,0,0,0,0,1,ns,1596170953
